title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Grumman G-164C King Cat N531MC,1.09718546138157,280.6622418403625,88369.57397460938,101309.99755859376,0,443.8171997070313,2,0
Grumman G-164C King Cat N531MC,1.0968412906024994,280.71595134735105,88358.75854492188,101309.99755859376,0,443.6983337402344,2,909
Grumman G-164C King Cat N531MC,1.096249521803024,280.7298144340515,88315.44799804686,101309.99755859376,0,443.580078125,2,1818
Grumman G-164C King Cat N531MC,1.095127119828735,280.7075132369995,88218.017578125,101309.99755859376,0,443.4612731933594,2,2727
Grumman G-164C King Cat N531MC,1.093709764049222,280.6573866844177,88088.1103515625,101309.99755859376,0,443.34271240234375,2,3636
Grumman G-164C King Cat N531MC,1.0917370554542818,280.5771068572998,87904.0771484375,101309.99755859376,0,443.2242126464844,2,4545
Grumman G-164C King Cat N531MC,1.0890904087429474,280.46226205825803,87655.08422851561,101309.99755859376,0,443.1072387695313,2,5455
Grumman G-164C King Cat N531MC,1.084775598377707,280.2814144134521,87251.513671875,101309.99755859376,0,442.9900207519531,2,6364
Grumman G-164C King Cat N531MC,1.0787508698450836,280.0155967712402,86684.6435546875,101309.99755859376,0,442.8736267089844,2,7273
Grumman G-164C King Cat N531MC,1.0726408773681335,279.70079793930046,86096.77124023438,101309.99755859376,0,442.7580261230469,2,8182
Grumman G-164C King Cat N531MC,1.0675589106376326,279.3874935150146,85592.88330078125,101309.99755859376,0,442.6432800292969,2,9091
Grumman G-164C King Cat N531MC,1.0636497416067736,279.1074165344238,85193.97583007811,101309.99755859376,0,442.5288696289063,2,10000
Grumman G-164C King Cat N531MC,1.06097661424424,278.87968053817747,84910.53466796875,101309.99755859376,0,442.4141845703125,2,10909
Grumman G-164C King Cat N531MC,1.0593889742411182,278.7105959892273,84732.07397460938,101309.99755859376,0,442.2997741699218,2,11818
Grumman G-164C King Cat N531MC,1.0587588507188392,278.6000694274902,84648.095703125,101309.99755859376,0,442.1852722167969,2,12727
Grumman G-164C King Cat N531MC,1.058849908857744,278.5415581703186,84637.59765625,101309.99755859376,0,442.0703125,2,13636
Grumman G-164C King Cat N531MC,1.0595560889743856,278.5285429000854,84690.087890625,101309.99755859376,0,441.9552917480469,2,14545
Grumman G-164C King Cat N531MC,1.060889469445642,278.5577639579773,84805.56030273438,101309.99755859376,0,441.8401794433594,2,15454
Grumman G-164C King Cat N531MC,1.0630933449651532,278.63408651351926,85005.01708984375,101309.99755859376,0,441.7257690429688,2,16364
Grumman G-164C King Cat N531MC,1.06520600892188,278.73396053314207,85204.47387695312,101309.99755859376,0,441.61038208007807,2,17273
Grumman G-164C King Cat N531MC,1.0658467634372444,278.8066338539124,85277.9541015625,101309.99755859376,0,441.4949340820313,2,18182
Grumman G-164C King Cat N531MC,1.0658467634372444,278.8066338539124,85277.9541015625,101309.99755859376,0,441.4949340820313,2,19091
Grumman G-164C King Cat N531MC,1.0658467634372444,278.8066338539124,85277.9541015625,101309.99755859376,0,441.4949340820313,2,20000
